
OptGoiOpFt  1
sim_Tx_50RZ_OOK: Instantaneous Optical Power at b35687, mon_RZ , Run 1
Polarization,,X
SimCentralFrequency,[THz],193.414
Minimum,[mW],3.6758e-023
Maximum,[mW],0.501187
Time[ns],Power[mW]
+1.7314393e+000,+4.9840291e-001
+1.7314393e+000,+4.9979509e-001
+1.7572817e+000,+4.9561853e-001
+1.7572817e+000,+4.9283416e-001
+1.7572817e+000,+4.8865760e-001
+1.7572817e+000,+4.8448104e-001
+1.7572817e+000,+4.7752010e-001
+1.7572817e+000,+4.7055917e-001
+1.7572817e+000,+4.6081386e-001
+1.7572817e+000,+4.4967637e-001
+1.7572817e+000,+4.3714668e-001
+1.7572817e+000,+4.2183263e-001
+1.7572817e+000,+4.0512639e-001
+1.7572817e+000,+3.8702796e-001
+1.7572817e+000,+3.6614515e-001
+1.7572817e+000,+3.4526235e-001
+1.7572817e+000,+3.2298736e-001
+1.7572817e+000,+2.9932018e-001
+1.7572817e+000,+2.7426082e-001
+1.7572817e+000,+2.5059364e-001
+1.7572817e+000,+2.2553428e-001
+1.7572817e+000,+2.0047491e-001
+1.7572817e+000,+1.7680774e-001
+1.7572817e+000,+1.5453274e-001
+1.7572817e+000,+1.3364994e-001
+1.7572817e+000,+1.1276714e-001
+1.7572817e+000,+9.4668709e-002
+1.7572817e+000,+7.7962466e-002
+1.7831240e+000,+6.2648410e-002
+1.7831240e+000,+5.0118728e-002
+1.7831240e+000,+3.8981233e-002
+1.7831240e+000,+2.9235925e-002
+1.7831240e+000,+2.2274990e-002
+1.7831240e+000,+1.5314056e-002
+1.7831240e+000,+1.1137495e-002
+1.7831240e+000,+6.9609345e-003
+1.7831240e+000,+4.1765607e-003
+1.7831240e+000,+2.7843738e-003
+1.7831240e+000,+1.3921869e-003
+1.7831240e+000,+0.0000000e+000
+1.8089664e+000,+6.9609345e-003
+1.8089664e+000,+1.1137495e-002
+1.8089664e+000,+1.5314056e-002
+1.8089664e+000,+2.2274990e-002
+1.8089664e+000,+2.9235925e-002
+1.8089664e+000,+3.8981233e-002
+1.8089664e+000,+5.0118728e-002
+1.8089664e+000,+6.2648410e-002
+1.8089664e+000,+7.7962466e-002
+1.8089664e+000,+9.4668709e-002
+1.8089664e+000,+1.1276714e-001
+1.8089664e+000,+1.3364994e-001
+1.8089664e+000,+1.5453274e-001
+1.8089664e+000,+1.7680774e-001
+1.8089664e+000,+2.0047491e-001
+1.8089664e+000,+2.2553428e-001
+1.8089664e+000,+2.4920145e-001
+1.8089664e+000,+2.7426082e-001
+1.8089664e+000,+2.9932018e-001
+1.8089664e+000,+3.2298736e-001
+1.8089664e+000,+3.4526235e-001
+1.8089664e+000,+3.6614515e-001
+1.8089664e+000,+3.8702796e-001
+1.8089664e+000,+4.0512639e-001
+1.8089664e+000,+4.2183263e-001
+1.8089664e+000,+4.3714668e-001
+1.8348088e+000,+4.4967637e-001
+1.8348088e+000,+4.6081386e-001
+1.8348088e+000,+4.7055917e-001
+1.8348088e+000,+4.7752010e-001
+1.8348088e+000,+4.8448104e-001
+1.8348088e+000,+4.8865760e-001
+1.8348088e+000,+4.9283416e-001
+1.8348088e+000,+4.9561853e-001
+1.8348088e+000,+4.9701072e-001
+1.8348088e+000,+4.9840291e-001
+1.8348088e+000,+4.9979509e-001
+1.8606512e+000,+4.8448104e-001
+1.8606512e+000,+4.7752010e-001
+1.8606512e+000,+4.7055917e-001
+1.8606512e+000,+4.6081386e-001
+1.8606512e+000,+4.4967637e-001
+1.8606512e+000,+4.3714668e-001
+1.8606512e+000,+4.2183263e-001
+1.8606512e+000,+4.0512639e-001
+1.8606512e+000,+3.8702796e-001
+1.8606512e+000,+3.6614515e-001
+1.8606512e+000,+3.4526235e-001
+1.8606512e+000,+3.2298736e-001
+1.8606512e+000,+2.9932018e-001
+1.8606512e+000,+2.7426082e-001
+1.8606512e+000,+2.5059364e-001
+1.8606512e+000,+2.2553428e-001
+1.8606512e+000,+2.0047491e-001
+1.8606512e+000,+1.7680774e-001
+1.8606512e+000,+1.5453274e-001
+1.8606512e+000,+1.3364994e-001
+1.8606512e+000,+1.1276714e-001
+1.8606512e+000,+9.4668709e-002
+1.8606512e+000,+7.7962466e-002
+1.8606512e+000,+6.2648410e-002
+1.8606512e+000,+5.0118728e-002
+1.8606512e+000,+3.8981233e-002
+1.8864935e+000,+2.9235925e-002
+1.8864935e+000,+2.2274990e-002
+1.8864935e+000,+1.5314056e-002
+1.8864935e+000,+1.1137495e-002
+1.8864935e+000,+6.9609345e-003
+1.8864935e+000,+4.1765607e-003
+1.8864935e+000,+2.7843738e-003
+1.8864935e+000,+1.3921869e-003
+1.8864935e+000,+0.0000000e+000
+1.9123359e+000,+2.9235925e-002
